K,theta,lane,improvement_pct
100,-0.5,בצלאל-רבין,0.0
100,-1.0,האר״י-מטודלה,0.2798851349851192
100,-1.0,אגרון-רמב״ן‎,1.1270797219191813
100,-1.0,קרן היסוד-קינג ג׳ורג׳,0.0
100,-1.0,דרך חברון,0.0
100,-1.0,ז׳בוטינסקי,0.400459308306679
100,-1.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.26488221473629914
100,-1.0,הרצל‎,3.092077198057159
100,-1.0,בן זכאי-יהודה הנשיא,1.3800973755925487
100,-1.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.48520589971912104
100,-1.0,בר לב,6.420554469608574
100,-1.0,צבי יהודה,0.8200448154075471
100,-1.0,הברון הירש-אליעזר הלוי,0.2563046086521181
100,-1.0,אלעזר המודעי-כובשי קטמון,0.9096799871778835
100,-1.0,הפלמ״ח,0.4655989010077075
100,-1.0,בזק-בייט,1.3790391795036587
100,-1.0,ירמיהו-בר אילן-לוי אשכול,5.7781338136213725
100,-1.0,גולדה-שמואל הנביא,1.7682081457992225
100,-1.0,שטראוס-יחזקאל,0.0
100,-1.0,בגין (גבעת רם),1.217586800187567
100,-1.0,גולומב,0.2774617907495245
100,-1.0,קוליץ,0.06603834318471175
100,-1.0,פייר קניג,1.0046482988913588
100,-1.0,שמגר-אוהל יהושוע-שפע חיים,2.1507636870824856
100,-1.0,בצלאל-רבין,0.0
100,-1.5,האר״י-מטודלה,0.17346512948448792
100,-1.5,אגרון-רמב״ן‎,0.7550566918699054
100,-1.5,קרן היסוד-קינג ג׳ורג׳,0.0
100,-1.5,דרך חברון,0.0
100,-1.5,ז׳בוטינסקי,0.2623072420033453
100,-1.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.16031494419119838
100,-1.5,הרצל‎,1.9098000678893996
100,-1.5,בן זכאי-יהודה הנשיא,0.818324517778981
100,-1.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.29243442363448396
100,-1.5,בר לב,3.465078325495504
100,-1.5,צבי יהודה,0.5746598876736466
100,-1.5,הברון הירש-אליעזר הלוי,0.19553312174988746
100,-1.5,אלעזר המודעי-כובשי קטמון,0.553938143802591
100,-1.5,הפלמ״ח,0.28408537606752904
100,-1.5,בזק-בייט,0.7727899783275861
100,-1.5,ירמיהו-בר אילן-לוי אשכול,3.2810464035311724
100,-1.5,גולדה-שמואל הנביא,1.0058921680206263
100,-1.5,שטראוס-יחזקאל,0.0
100,-1.5,בגין (גבעת רם),0.7052154894410936
100,-1.5,גולומב,0.15360353958241413
100,-1.5,קוליץ,0.03779143804152526
100,-1.5,פייר קניג,0.5836597658911005
100,-1.5,שמגר-אוהל יהושוע-שפע חיים,1.415388659837092
100,-1.5,בצלאל-רבין,0.0
100,-2.0,האר״י-מטודלה,0.012592875040725487
100,-2.0,אגרון-רמב״ן‎,0.05977385006196218
100,-2.0,קרן היסוד-קינג ג׳ורג׳,0.0
100,-2.0,דרך חברון,0.0
100,-2.0,ז׳בוטינסקי,0.02046384607603044
100,-2.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.010631488826968929
100,-2.0,הרצל‎,0.13067647337355867
100,-2.0,בן זכאי-יהודה הנשיא,0.0549640425095091
100,-2.0,רחל אמנו-חזקיהו המלך-דוסטאי,0.020809990411434
100,-2.0,בר לב,0.20389212402895382
100,-2.0,צבי יהודה,0.04640285143812187
100,-2.0,הברון הירש-אליעזר הלוי,0.01804161875548592
